id,name,state_id/id
kabupaten_id_251,Lembata,base.state_id_nt
kabupaten_id_252,Manggarai,base.state_id_nt
kabupaten_id_253,Manggarai Barat,base.state_id_nt
kabupaten_id_254,Manggarai Timur,base.state_id_nt
kabupaten_id_255,Nagekeo,base.state_id_nt
kabupaten_id_256,Ngada,base.state_id_nt
kabupaten_id_257,Rote Ndao,base.state_id_nt
kabupaten_id_258,Sabu Raijua,base.state_id_nt
kabupaten_id_259,Sikka,base.state_id_nt
kabupaten_id_260,Sumba Barat,base.state_id_nt
kabupaten_id_261,Sumba Barat Daya,base.state_id_nt
kabupaten_id_262,Sumba Tengah,base.state_id_nt
kabupaten_id_263,Sumba Timur,base.state_id_nt
kabupaten_id_264,Timor Tengah Selatan,base.state_id_nt
kabupaten_id_265,Timor Tengah Utara,base.state_id_nt
kabupaten_id_266,Bengkalis,base.state_id_ri
kabupaten_id_267,Dumai,base.state_id_ri
kabupaten_id_268,Indragiri Hilir,base.state_id_ri
kabupaten_id_269,Indragiri Hulu,base.state_id_ri
kabupaten_id_270,Kampar,base.state_id_ri
kabupaten_id_271,Kepulauan Meranti,base.state_id_ri
kabupaten_id_272,Kuantan Singingi,base.state_id_ri
kabupaten_id_273,Pekanbaru,base.state_id_ri
kabupaten_id_274,Pelalawan,base.state_id_ri
kabupaten_id_275,Rokan Hilir,base.state_id_ri
kabupaten_id_276,Rokan Hulu,base.state_id_ri
kabupaten_id_277,Siak,base.state_id_ri
kabupaten_id_278,Majene,base.state_id_sr
kabupaten_id_279,Mamasa,base.state_id_sr
kabupaten_id_280,Mamuju,base.state_id_sr
kabupaten_id_281,Mamuju Utara,base.state_id_sr
kabupaten_id_282,Polewali Mandar,base.state_id_sr
kabupaten_id_283,Bantaeng,base.state_id_sn
kabupaten_id_284,Barru,base.state_id_sn
kabupaten_id_285,Bone,base.state_id_sn
kabupaten_id_286,Bulukumba,base.state_id_sn
kabupaten_id_287,Enrekang,base.state_id_sn
kabupaten_id_288,Gowa,base.state_id_sn
kabupaten_id_289,Jeneponto,base.state_id_sn
kabupaten_id_290,Luwu,base.state_id_sn
kabupaten_id_291,Luwu Timur,base.state_id_sn
kabupaten_id_292,Luwu Utara,base.state_id_sn
kabupaten_id_293,Makassar,base.state_id_sn
kabupaten_id_294,Maros,base.state_id_sn
kabupaten_id_295,Palopo,base.state_id_sn
kabupaten_id_296,Pangkajene Kepulauan,base.state_id_sn
kabupaten_id_297,Parepare,base.state_id_sn
kabupaten_id_298,Pinrang,base.state_id_sn
kabupaten_id_299,Sidenreng Rappang/Rapang,base.state_id_sn
kabupaten_id_300,Sinjai,base.state_id_sn
kabupaten_id_301,Soppeng,base.state_id_sn
kabupaten_id_302,Takalar,base.state_id_sn
kabupaten_id_303,Tana Toraja,base.state_id_sn
kabupaten_id_304,Toraja Utara,base.state_id_sn
kabupaten_id_305,Wajo,base.state_id_sn
kabupaten_id_306,Agam,base.state_id_sb
kabupaten_id_307,Bukittinggi,base.state_id_sb
kabupaten_id_308,Dharmasraya,base.state_id_sb
kabupaten_id_309,Kepulauan Mentawai,base.state_id_sb
kabupaten_id_310,Lima Puluh Koto/Kota,base.state_id_sb
kabupaten_id_311,Padang,base.state_id_sb
kabupaten_id_312,Padang Panjang,base.state_id_sb
kabupaten_id_313,Padang Pariaman,base.state_id_sb
kabupaten_id_314,Pariaman,base.state_id_sb
kabupaten_id_315,Pasaman,base.state_id_sb
kabupaten_id_316,Pasaman Barat,base.state_id_sb
kabupaten_id_317,Payakumbuh,base.state_id_sb
kabupaten_id_318,Pesisir Selatan,base.state_id_sb
kabupaten_id_319,Sawah Lunto,base.state_id_sb
kabupaten_id_320,Sijunjung (Sawah Lunto Sijunjung),base.state_id_sb
kabupaten_id_321,Solok,base.state_id_sb
kabupaten_id_322,Solok Selatan,base.state_id_sb
kabupaten_id_323,Tanah Datar,base.state_id_sb
kabupaten_id_324,Banyuasin,base.state_id_ss
kabupaten_id_325,Empat Lawang,base.state_id_ss
kabupaten_id_326,Lahat,base.state_id_ss
kabupaten_id_327,Lubuk Linggau,base.state_id_ss
kabupaten_id_328,Muara Enim,base.state_id_ss
kabupaten_id_329,Musi Banyuasin,base.state_id_ss
kabupaten_id_330,Musi Rawas,base.state_id_ss
